rpcbind 1.2.5-2
rtkit 0.11+10+g493a135-1
rtmpdump 1:2.4.r96.fa8646d-4
rtorrent 0.9.7-2
rubberband 1.8.2-1
ruby 2.6.0-5
rubygems 3.0.2-3
run-parts 4.8.6-1
rxvt-unicode-patched 9.22-10
rxvt-unicode-terminfo 9.22-7
s-nail 14.9.11-2
sbc 1.4-1
scapy 2.4.2-1
schroedinger 1.0.11-5
screenfetch 3.8.0-3
scrot 0.8.18-1
sdcv 0.5.2-2
sdl 1.2.15-10
sdl2 2.0.9-1
sdl2_image 2.0.4-2
sdl2_net 1:2.0.1-2
sdl_image 1.2.12-5
sdl_mixer 1.2.12-6
sdl_ttf 2.0.11-5
sed 4.7-1
sfml 2.5.1-1
shaderc 2018.0-3
shadow 4.6-2
shared-mime-info 1.10-1
sip 4.19.13-1
smbclient 4.9.4-2
smpeg 0.4.5-4
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
source-highlight 3.1.8-18
spandsp 0.0.6-2
speech-dispatcher 0.8.8-3
speex 1.2.0-2
speexdsp 1.2rc3-3
spirv-tools 2018.5-1
sqlite 3.26.0-2
sqlmap 1.3-1
srt 1.3.1-1
startup-notification 0.12-6
strace 4.26-1
sudo 1.8.27-1
swig 3.0.12-2
sxhkd 0.5.9-1
sysfsutils 2.1.0-10
systemd 240.34-3
systemd-sysvcompat 240.34-3
taglib 1.11.1-2
talloc 2.1.14-1
tar 1.31-2
tcl 8.6.9-2
tcpdump 4.9.2-1
tcpreplay 4.2.6-2
tdb 1.3.16-1
terminator 1.91-6
tevent 1:0.9.37-1
texinfo 6.5-2
thin-provisioning-tools 0.7.6-1
tk 8.6.9-2
tmux 2.8-1
toilet 0.3.r155.3eb9d58-1
traceroute 2.1.0-2
tree 1.8.0-1
tslib 1.19-1
tzdata 2018i-1
uchardet 0.0.6-2
udisks2 2.8.1-1
unrar 1:5.6.8-1
unzip 6.0-13
usbutils 010-1
util-linux 2.33.1-2
v4l-utils 1.16.3-1
vamp-plugin-sdk 2.7.1-2
vbam-gtk 2.0.0b2-3
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.0751-1
vim-runtime 8.1.0751-1
virtualbox-host-dkms 6.0.2-1
vlc 3.0.6-1
volume_key 0.3.11-2
vte 0.28.2-8
vte-common 0.54.3-1
vte3 0.54.3-1
vulkan-icd-loader 1.1.96+3009+32d33e965-1
w3m 0.5.3.git20180125-1
wayland 1.16.0-1
wayland-protocols 1.17-1
webrtc-audio-processing 0.3.1-1
wget 1.20.1-2
which 2.21-3
whois 5.4.0-2
wildmidi 0.4.3-1
wireless_tools 30.pre9-2
wireshark-cli 2.6.6-1
wireshark-common 2.6.6-1
wireshark-qt 2.6.6-1
wpa_supplicant 2:2.6-2
x264 2:155.r0a84d986-2
x265 2.9-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xdelta3 3.1.0-1
xdg-utils 1.1.3-3
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.28.1-1
xf86-input-synaptics 1.9.1-1
xfsprogs 4.19.0-2
xkeyboard-config 2.25-1
xmlrpc-c 1:1.43.08-2
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.4-5
xorg-fonts-misc 1.0.3-6
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.3-1
xorg-server-common 1.20.3-1
xorg-setxkbmap 1.3.1-2
xorg-xauth 1.0.10-2
xorg-xdpyinfo 1.3.2-2
xorg-xfontsel 1.0.6-1
xorg-xinit 1.4.0-3
xorg-xkbcomp 1.4.2-1
xorg-xmodmap 1.0.9-2
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-2
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorgproto 2018.4-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
yay 9.1.0-1
youtube-dl 2019.01.17-1
zip 3.0-8
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zstd 1.3.8-1
zvbi 0.2.35-3
